"Timestamp","Age","I have been using YouTube for...","Select the option that best describes your YouTube consumption","When I use YouTube, I use it on a...","From a user experience perspective, YouTube has gone in the right direction over the years.","Whenever I discover a new feature on YouTube, I am mostly pleased by it.","Sometimes the abundance of features makes it hard for me to find what I'm looking for.","I would prefer to use a YouTube Lite* with less features over the current version of YouTube.","In its current state, YouTube has too many features.","OPTIONAL: What features do you find useful?","OPTIONAL: What features do you find useless?","Dark/light theme","Location settings","Search with voice","Search predictions","Home feed with algorithm-based recommendations","Home feed filter","Infinite scrolling","Custom thumbnails","Video preview","Trending videos","Autoplay","Ambient mode","Automatically generated subtitles","Uploader submitted subtitles","Subtitle customization","Multiple audio tracks","Playback speed adjustment (with the preset values)","Playback speed adjustment (by providing a custom value, e.g. 1.45 instead of 1.5)","""Most replayed""","Video chapters","Clip","Keyboard shortcuts","Livestream: separation between ""Live chat"" and ""Top chat""","Watch queue","Automatically generated mixes","Are you logged in to your account when you use YouTube?","Subscription feed","Subscription feed view customization","Watch history","Liked videos","Playlists","Collaborative playlists","""Watch later""","YouTube Shorts","YouTube Premium","YouTube Music","YouTube Movies","I spend more time on YouTube than I should because of the video recommendation algorithm.","I often find myself endlessly scrolling the front page feed with no real purpose.","The video thumbnail affects my decision to watch a video.","The video preview feature affects my decision to watch a video.","I find myself skipping videos that have ads at the start or in the middle.","I engage in public discussion on YouTube in the form of video comments, livestream chat or such.","I observe the public discussion on YouTube in the form of video comments, livestream chat or such."
"2024/03/08 5:58:34 pm GMT+3","19-24","15 years or more","2+ hours/day","Computer","4","3","2","5","4","","","Nice to have","Nice to have","Unnecessary","Essential","Essential","Nice to have","Essential","Nice to have","Unnecessary","Nice to have","Unnecessary","Unnecessary","Essential","Essential","Essential","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Unnecessary","Essential","Nice to have","I sometimes use this feature","I never use this feature","Yes","I actively use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","4","1","4","1","Sometimes","Never","Sometimes"
"2024/03/08 6:04:17 pm GMT+3","25-29","15 years or more","1-2 hours/day","Smartphone;Smart TV","5","5","2","1","1","","","Essential","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Essential","Essential","Essential","Nice to have","Unnecessary","Unnecessary","Nice to have","Essential","Nice to have","Unnecessary","Unnecessary","Unnecessary","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","I sometimes use this feature","I sometimes use this feature","Yes","I actively use this feature","I sometimes use this feature","I actively use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","1","1","4","4","Never","Sometimes","Sometimes"
"2024/03/08 6:13:15 pm GMT+3","25-29","15 years or more","0-1 hours/day","Computer;Smartphone","1","1","3","4","5","","","I haven't even heard of this","Unnecessary","Unnecessary","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","Essential","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","I haven't even heard of this","Unnecessary","Unnecessary","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","I never use this feature","I actively use this feature","No","","","","","","","","I never use this feature","I never use this feature","I never use this feature","I never use this feature","4","1","5","1","Often","Never","Never"
"2024/03/08 7:13:26 pm GMT+3","40-49","15 years or more","0-1 hours/day","Computer;Smartphone;Smart TV","3","2","4","5","4","","","I haven't even heard of this","I haven't even heard of this","Essential","Essential","Nice to have","I haven't even heard of this","Nice to have","Essential","Nice to have","Unnecessary","Unnecessary","I haven't even heard of this","Nice to have","Essential","I haven't even heard of this","Nice to have","Essential","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","Unnecessary","I never use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","3","4","1","4","Sometimes","Never","Sometimes"
"2024/03/08 7:29:19 pm GMT+3","19-24","10-14 years","1-2 hours/day","Computer;Smartphone","2","2","3","4","3","Transcript","Clicking video makes it go x2 speed","Essential","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Essential","Essential","Nice to have","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Unnecessary","Essential","Unnecessary","I never use this feature","I never use this feature","Yes","I never use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I actively use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","4","1","4","2","Never","Never","Sometimes"
"2024/03/08 7:48:41 pm GMT+3","19-24","10-14 years","2+ hours/day","Computer;Smartphone","2","3","3","5","2","Autoplay, smart downloads","Shorts","Essential","Essential","Nice to have","Essential","Essential","Nice to have","Unnecessary","Essential","Essential","Nice to have","Essential","Nice to have","Essential","Essential","Unnecessary","Nice to have","Essential","Unnecessary","Nice to have","Nice to have","Unnecessary","Essential","Nice to have","I actively use this feature","I sometimes use this feature","Yes","I actively use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","4","4","5","5","Sometimes","Never","Often"
"2024/03/08 8:03:27 pm GMT+3","19-24","6-9 years","1-2 hours/day","Computer","4","3","2","2","1","","","Essential","Essential","Unnecessary","Nice to have","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","Essential","Nice to have","I haven't even heard of this","Nice to have","Unnecessary","Nice to have","Nice to have","Unnecessary","Nice to have","Unnecessary","I actively use this feature","I never use this feature","Yes","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","2","4","4","2","Never","Never","Sometimes"
"2024/03/08 8:21:36 pm GMT+3","25-29","15 years or more","2+ hours/day","Computer;Smartphone","4","2","4","4","3","Offline play (download), watch later (or lists overall), 2x speed while clicking the screen, subscriptions and Youtube Music as seperate entity","Autoplay, explore tab, posts, ambient mode (first that come to mind) and youtube recommending random videos over (or asking to recommend) over the content I normally consume","Essential","Unnecessary","Unnecessary","Unnecessary","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Nice to have","Nice to have","Nice to have","Nice to have","Essential","Unnecessary","Nice to have","Unnecessary","Unnecessary","Unnecessary","Unnecessary","I never use this feature","I sometimes use this feature","Yes","I actively use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I actively use this feature","I never use this feature","1","2","2","3","Never","Never","Never"
"2024/03/08 11:46:29 pm GMT+3","25-29","15 years or more","0-1 hours/day","Smartphone;Smart TV;Playstation","2","2","3","4","4","Suositellut videot","Mainokset","Nice to have","Nice to have","Unnecessary","Essential","Nice to have","Nice to have","Essential","Essential","Essential","Nice to have","Nice to have","I haven't even heard of this","Essential","Essential","Nice to have","Nice to have","I haven't even heard of this","I haven't even heard of this","Essential","Essential","I haven't even heard of this","I haven't even heard of this","Nice to have","I actively use this feature","I sometimes use this feature","Yes","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","1","1","4","4","Sometimes","Sometimes","Sometimes"
"2024/03/08 11:53:04 pm GMT+3","25-29","15 years or more","2+ hours/day","Computer;Smartphone;Gaming console. ps5, ps4 etc.","1","3","3","5","2","","Ads","Nice to have","Nice to have","Unnecessary","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","I sometimes use this feature","I never use this feature","Yes","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","2","4","2","3","Often","Sometimes","Sometimes"
"2024/03/09 10:39:48 am GMT+3","25-29","10-14 years","1-2 hours/day","Computer","3","2","4","2","3","","","Essential","I haven't even heard of this","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Essential","Nice to have","Nice to have","Unnecessary","I haven't even heard of this","Unnecessary","Essential","Nice to have","Nice to have","Essential","I haven't even heard of this","Nice to have","Essential","Unnecessary","Nice to have","I haven't even heard of this","I never use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","5","5","5","2","Sometimes","Never","Sometimes"
"2024/03/09 10:52:56 am GMT+3","25-29","15 years or more","1-2 hours/day","Computer;Smartphone","2","2","3","3","3","","","Essential","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","I haven't even heard of this","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","Nice to have","I haven't even heard of this","I sometimes use this feature","I actively use this feature","Yes","I sometimes use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","2","4","2","3","Sometimes","Never","Sometimes"
"2024/03/09 5:02:53 pm GMT+3","19-24","15 years or more","2+ hours/day","Computer;Smartphone","2","2","5","5","5","","","Essential","Unnecessary","Unnecessary","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Nice to have","Essential","Nice to have","Unnecessary","Unnecessary","I haven't even heard of this","Unnecessary","Nice to have","Unnecessary","I haven't even heard of this","Nice to have","I sometimes use this feature","I never use this feature","Yes","I actively use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I never use this feature","I actively use this feature","I actively use this feature","I never use this feature","I never use this feature","I sometimes use this feature","5","5","4","1","Sometimes","Sometimes","Often"
"2024/03/10 7:36:07 pm GMT+3","25-29","10-14 years","2+ hours/day","Computer;Smartphone","2","2","1","2","2","","","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Unnecessary","I sometimes use this feature","I never use this feature","Yes","I actively use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","5","5","4","2","Sometimes","Never","Often"
"2024/03/10 7:53:42 pm GMT+3","25-29","15 years or more","0-1 hours/day","Computer;Smartphone;Smart TV","4","2","3","4","4","Video preview, playlists, recommended videos and channels (most of the time, this has improved lately)","Shorts, communities","Essential","Unnecessary","Nice to have","Nice to have","Essential","Unnecessary","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Unnecessary","Unnecessary","Nice to have","Unnecessary","Nice to have","Unnecessary","I sometimes use this feature","I never use this feature","Yes","I actively use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","1","3","4","4","Sometimes","Never","Sometimes"
"2024/03/11 8:54:38 am GMT+3","19-24","10-14 years","2+ hours/day","Computer;Smartphone","3","3","1","2","1","","","Nice to have","Nice to have","Nice to have","Essential","Essential","Essential","Essential","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","I haven't even heard of this","Nice to have","Essential","Essential","Unnecessary","Nice to have","Unnecessary","Essential","Nice to have","I sometimes use this feature","I actively use this feature","Yes","I actively use this feature","I sometimes use this feature","I actively use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","5","1","5","4","Never","Never","Often"
"2024/03/11 11:52:30 am GMT+3","30-39","10-14 years","2+ hours/day","Computer;Smartphone","3","3","1","4","2","","","Essential","Unnecessary","Unnecessary","Nice to have","Essential","Unnecessary","Nice to have","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Nice to have","Essential","Essential","Nice to have","Essential","Nice to have","Unnecessary","Essential","Unnecessary","Nice to have","Unnecessary","I never use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I never use this feature","I never use this feature","4","5","2","1","Never","Sometimes","Often"
"2024/03/11 1:09:29 pm GMT+3","50-59","15 years or more","2+ hours/day","Smartphone;Smart TV","4","4","3","1","2","","Commercials","Unnecessary","Nice to have","Essential","Essential","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","Unnecessary","I sometimes use this feature","I sometimes use this feature","Yes","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","2","1","1","4","Never","Never","Never"
"2024/03/11 1:13:58 pm GMT+3","18 or under","6-9 years","1-2 hours/day","Computer;Smartphone","4","4","2","3","2","Making own playlist","Like feature since youtube took away the chance to see how many dislikes a video has.","Nice to have","Nice to have","Unnecessary","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Nice to have","Nice to have","Unnecessary","Nice to have","Unnecessary","I sometimes use this feature","I never use this feature","Yes","I never use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","3","3","4","3","Never","Sometimes","Never"
"2024/03/11 1:46:59 pm GMT+3","30-39","15 years or more","Few times/week","Smartphone","3","4","2","2","2","Automatic subtitles","Shit load of add's ","Nice to have","Essential","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Essential","Unnecessary","Unnecessary","Nice to have","Essential","Essential","Nice to have","Nice to have","Essential","Nice to have","Nice to have","Essential","Nice to have","Nice to have","Unnecessary","I sometimes use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","2","1","2","3","Sometimes","Sometimes","Sometimes"
"2024/03/11 2:23:02 pm GMT+3","40-49","15 years or more","1-2 hours/day","Computer;Smartphone;Tablet;Smart TV","2","2","3","2","2","Recommendation algoritms","Too much ads.","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Essential","Unnecessary","Unnecessary","Unnecessary","Nice to have","Essential","Essential","Nice to have","Essential","Nice to have","Essential","Essential","Nice to have","Nice to have","Nice to have","I sometimes use this feature","I never use this feature","Yes","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I sometimes use this feature","3","4","4","4","Sometimes","Sometimes","Sometimes"
"2024/03/11 3:22:17 pm GMT+3","40-49","10-14 years","Few times/week","Computer;Smartphone;Tablet","3","4","2","4","3","Search, sharing, modifying the pace (toistonopeus=","Loading","Unnecessary","Nice to have","I haven't even heard of this","Essential","Nice to have","Nice to have","Nice to have","Nice to have","I haven't even heard of this","Nice to have","Unnecessary","I haven't even heard of this","Nice to have","Nice to have","Unnecessary","I haven't even heard of this","Essential","I haven't even heard of this","I haven't even heard of this","Nice to have","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","I sometimes use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","1","1","3","1","Sometimes","Sometimes","Never"
"2024/03/11 5:14:52 pm GMT+3","19-24","10-14 years","0-1 hours/day","Computer;Smartphone;Smart TV","4","3","2","2","3","Double tapping on the screen skips x amount of seconds","","Nice to have","Nice to have","Unnecessary","Essential","Essential","Nice to have","Nice to have","Essential","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","Unnecessary","Nice to have","Essential","Unnecessary","Nice to have","I haven't even heard of this","I never use this feature","I never use this feature","Yes","I actively use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","4","2","5","4","Sometimes","Never","Sometimes"
"2024/03/11 7:46:24 pm GMT+3","30-39","15 years or more","1-2 hours/day","Smartphone","4","4","3","3","3","Sharing clips (from a specific time onwards)","","Essential","Nice to have","I haven't even heard of this","Essential","Essential","I haven't even heard of this","Essential","Unnecessary","Nice to have","I haven't even heard of this","Nice to have","I haven't even heard of this","Essential","Essential","I haven't even heard of this","Nice to have","Nice to have","Nice to have","I haven't even heard of this","Nice to have","Essential","I haven't even heard of this","I haven't even heard of this","I sometimes use this feature","I sometimes use this feature","Yes","I actively use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I never use this feature","2","2","4","5","Never","Never","Sometimes"
"2024/03/12 11:21:02 am GMT+3","30-39","10-14 years","Few times/week","Computer;Smartphone","2","3","2","4","3","Only thing I use Youtube for is to find (long) videos that are interesting: To which it has been developed from the start, right? So I do like the search block and that I can follow the profiles of my own interest. That's all I need it for.","Everything else that's not related to ""basic"" YouTube videos (compared to e.g. stories/reels/shorts that are absolutely useless in YouTube). ","Essential","Unnecessary","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","Essential","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Nice to have","Nice to have","Unnecessary","I haven't even heard of this","Nice to have","Unnecessary","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","I sometimes use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","4","1","4","2","Often","Never","Often"
